,fold
1583,2238179
1584,3694454
1585,5407060
1586,1384173
1587,1876139
1588,3418362
1589,4765404
1590,1482749
1591,5278886
1592,1408860
1593,3183851
1594,4866002
1595,2670349
1596,1286752
1597,2901532
1598,5739871
1599,5128033
1600,5402589
1601,1198861
1602,1877771
1603,2137197
1604,1494545
1605,1218167
1606,3059513
1607,2165684
1608,2008063
1609,4366475
1610,5146697
1611,3552053
1612,1055579
1613,4633451
1614,2506356
1615,1826217
1616,2380178
1617,3422233
1618,3939405
1619,1305266
1620,3024197
1621,4897823
1622,1910125
1623,5113623
1624,1883279
1625,1093800
1626,5506624
1627,2146792
1628,1218342
1629,2462836
1630,4095161
1631,4870434
1632,2658274
1633,1019705
1634,5012070
1635,3698346
1636,3295137
1637,4859290
1638,1742985
1639,4465087
1640,1533216
1641,2898834
1642,5925861
1643,2760806
1644,1123403
1645,3450221
1646,1832984
1647,1407851
1648,3458123
1649,3051665
1650,2854285
1651,4820411
1652,3302148
1653,5795293
1654,5870011
1655,1722190
1656,4608299
1657,1182267
1658,1961716
1659,2262030
1660,3695917
1661,2110582
1662,1123489
1663,2917499
1664,3175115
1665,1611476
1666,3689069
1667,3317063
1668,4768032
1669,1807514
1670,1219754
1671,1736716
1672,1897837
1673,3036684
1674,2001095
1675,1075103
1676,5550534
1677,2130020
1678,2140406
1679,1578106
1680,4982259
1681,5443628
1682,2802156
1683,1110482
1684,1987600
1685,3437440
1686,2984827
1687,3561711
1688,1385744
1689,3818155
1690,2769387
1691,1287870
1692,4091700
1693,5127234
1694,3552766
1695,2119063
1696,1158511
1697,2902601
1698,2111828
1699,4223381
1700,4458304
1701,1157807
1702,4850396
1703,1614579
1704,1504665
1705,3981979
1706,1359562
1707,3803001
1708,1323911
1709,2099484
1710,5543109
1711,1552640
1712,4629182
1713,2532984
1714,4874760
1715,1359541
1716,1815178
1717,4733398
1718,2795924
1719,4625823
1720,5400893
1721,1853123
1722,4477899
1723,5013457
1724,1916687
1725,2256733
1726,4169562
1727,2529214
1728,5833192
1729,1732265
1730,1870134
1731,1505158
1732,2237788
1733,1173503
1734,2666471
1735,3943223
1736,5016229
1737,1415141
1738,1401857
1739,1216071
1740,1166006
1741,1742013
1742,1386473
1743,5551519
1744,1944582
1745,3549854
